idCliente,idServidor,velocidad,distancia
99,141,1000,833
99,145,1000,728
99,163,3000,161
99,186,1000,729
99,232,3000,331
99,233,1000,192
99,252,1000,402
99,258,2000,694
102,119,2000,416
102,169,3000,414
102,186,3000,260
102,192,2000,669
102,232,2000,493
102,239,3000,535
102,248,3000,720
102,267,3000,675
119,121,3000,560
119,145,2000,595
119,171,2000,750
119,192,2000,747
119,216,1000,542
119,245,1000,466
119,256,1000,266
119,262,1000,66
119,265,2000,11
119,269,1000,215
119,280,2000,849
121,145,2000,124
121,147,2000,98
121,148,3000,155
121,171,1000,62
121,180,1000,672
121,216,1000,450
121,221,2000,310
121,233,1000,990
121,258,1000,49
121,262,3000,219
121,263,1000,511
121,265,2000,827
121,280,3000,728
121,285,1000,101
141,222,2000,450
141,233,1000,467
141,262,3000,906
141,278,1000,91
141,280,1000,54
141,285,1000,464
141,298,1000,843
145,148,1000,900
145,163,3000,481
145,204,2000,245
145,216,1000,493
145,239,2000,842
145,247,3000,513
145,262,1000,763
145,265,3000,780
145,267,3000,251
145,298,3000,325
147,190,2000,541
147,216,1000,841
147,222,2000,444
147,228,1000,347
147,233,3000,820
147,245,2000,290
147,262,1000,566
147,269,3000,256
147,287,1000,637
148,163,2000,530
148,167,1000,591
148,169,3000,929
148,171,3000,840
148,180,1000,835
148,190,3000,36
148,204,2000,985
148,210,2000,424
148,221,1000,702
148,224,1000,399
148,232,1000,785
148,248,1000,575
148,258,1000,244
148,262,3000,781
148,263,2000,526
148,265,2000,997
148,267,1000,415
148,269,1000,283
148,285,3000,1000
148,286,1000,705
148,298,1000,270
157,163,3000,306
157,180,1000,84
157,190,1000,673
157,204,1000,518
157,216,1000,598
157,222,2000,584
157,248,3000,300
157,262,1000,501
157,263,1000,756
157,278,1000,241
157,285,2000,203
157,298,1000,90
163,169,3000,770
163,180,1000,647
163,182,3000,896
163,186,1000,337
163,192,2000,68
163,204,3000,110
163,210,1000,685
163,216,1000,839
163,221,3000,517
163,232,3000,151
163,258,2000,801
163,262,1000,344
163,286,2000,205
163,287,1000,376
163,298,2000,652
167,180,2000,318
167,248,3000,631
167,256,3000,333
167,258,2000,686
167,298,3000,29
169,186,2000,88
169,204,3000,911
169,210,2000,457
169,221,1000,328
169,228,3000,995
169,233,3000,482
169,248,3000,577
169,286,3000,345
169,287,1000,72
171,192,3000,511
171,210,3000,726
171,216,3000,565
171,221,1000,147
171,222,3000,520
171,247,1000,304
171,262,2000,401
171,265,2000,256
171,269,3000,641
171,298,1000,951
180,182,3000,611
180,190,3000,167
180,216,1000,260
180,232,1000,832
180,239,3000,677
180,265,3000,11
180,269,3000,148
180,280,2000,707
180,285,3000,691
180,287,3000,584
182,210,3000,833
182,221,2000,486
182,232,3000,230
182,252,2000,629
182,263,2000,608
186,192,1000,647
186,228,2000,998
186,239,2000,194
186,263,2000,22
186,294,2000,445
186,298,2000,299
190,210,3000,447
190,222,3000,451
190,232,3000,354
190,245,3000,168
190,247,1000,311
190,252,2000,172
190,256,3000,780
190,263,3000,899
190,280,3000,526
190,285,1000,866
190,287,1000,136
190,298,2000,714
192,216,2000,83
192,245,2000,846
192,248,1000,334
192,258,2000,367
192,265,2000,645
192,269,3000,81
192,294,1000,206
204,222,2000,196
204,232,1000,178
204,245,2000,303
204,280,1000,597
204,287,1000,303
210,216,2000,262
210,245,2000,10
210,294,1000,253
216,221,3000,118
216,233,1000,859
216,248,3000,991
216,252,1000,404
216,263,2000,192
216,267,2000,23
216,287,2000,51
221,233,1000,529
221,280,1000,996
221,285,3000,574
221,286,1000,105
222,247,3000,668
222,248,3000,675
222,262,2000,45
222,265,3000,102
222,285,3000,534
222,286,2000,732
224,245,1000,543
224,256,2000,388
224,258,2000,996
224,265,2000,41
224,269,3000,929
224,287,1000,866
224,294,1000,332
224,298,1000,361
228,245,2000,585
228,252,2000,552
228,263,3000,215
228,267,1000,969
228,269,1000,221
228,285,1000,225
228,287,3000,819
228,294,2000,952
228,298,1000,737
232,247,1000,320
232,256,2000,467
232,262,2000,600
232,285,1000,594
232,294,3000,235
233,248,1000,506
233,278,3000,340
233,287,2000,849
239,245,3000,873
239,252,1000,330
239,256,3000,901
239,278,2000,514
239,280,2000,228
239,287,2000,342
239,294,1000,327
245,262,1000,172
245,285,3000,461
247,252,1000,47
247,256,2000,329
247,265,1000,227
247,285,3000,131
247,287,1000,348
247,294,1000,144
248,258,2000,917
248,269,2000,280
248,287,3000,563
248,294,2000,218
252,256,1000,376
252,278,3000,796
252,285,1000,524
256,262,2000,594
256,269,1000,591
256,280,2000,795
256,287,2000,708
258,262,3000,859
258,278,2000,115
258,285,2000,643
258,294,2000,549
262,267,1000,470
262,278,1000,820
262,280,3000,955
263,278,2000,924
263,285,1000,930
263,287,2000,602
265,286,1000,543
265,287,3000,627
265,294,2000,102
267,286,2000,577
269,278,3000,21
278,280,3000,612
280,287,3000,7
280,294,1000,377
280,298,2000,948
287,294,1000,573
